"today","base","enumerateur","uuid","question.name","ancienne.valeur","nouvelle.valeur","parent.other.question","parent.other.answer","probleme","checkid","action"
"2020-08-04","tenkodogo","tenkodogo_802","33c43b69-e89b-4667-a6b9-d043a6e395a8","fcs_score","19.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-04","koudougou","koudougou_708","576d6525-e53c-406d-aef3-cfd22ae4d1ea","fcs_score","14",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-04","koudougou","koudougou_704","e12c7b17-a269-42d2-8415-a802f7b99d86","fcs_score","15",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-04","koudougou","koudougou_706","c49f04f7-9a26-4eae-aa27-3c7a687ba7bc","fcs_score","17.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-04","koudougou","koudougou_705","e11d530b-a687-42c9-a3eb-8815d6e3fcbb","fcs_score","17.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-04","fada","fada_408","480cb5bc-2545-4468-a9c7-06099db4770d","fcs_score","20",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-04","bobo","bobo_605","3694d63f-cec8-4dfb-ad9b-d704205aa2b8","fcs_score","19.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-04","bobo","bobo_605","e5815d23-3e50-42bc-9e8f-177a10f6b21b","fcs_score","19.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-04","fada","fada_404","f014f661-bb80-46b6-b22d-ef9a5d24b05d","fcs_score","20.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-05","tenkodogo","tenkodogo_801","f7f9a2eb-42f3-4c96-b6f0-ca2ddb89f174","fcs_score","20",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-05","tenkodogo","tenkodogo_801","d891e4f4-2110-4b98-bcab-b29f5da3f6d0","fcs_score","20.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-05","tenkodogo","tenkodogo_802","aa70c119-41e3-4490-adc0-76ff55949637","fcs_score","16.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-05","tenkodogo","tenkodogo_802","e64e5021-f809-4b13-9c73-c636821a4317","fcs_score","17.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-05","tenkodogo","tenkodogo_803","492afc29-80f3-47dc-acf4-55722e4a4997","fcs_score","17.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-05","fada","fada_412","29188718-ab91-4fe8-bb8a-20c81f2091fd","fcs_score","18",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-05","dedougou","dedougou_507","a2ea4892-6845-4736-933a-3a243aa34bac","fcs_score","19.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-05","koudougou","koudougou_706","f5f030d7-99b0-4809-a021-a511bc516aa2","fcs_score","19",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-05","koudougou","koudougou_703","971ae240-25e0-434a-a9e5-909b3b24de93","fcs_score","14",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-05","bobo","bobo_603","e8a31e4d-cfd0-4542-b3f5-ac4f1ef1c564","fcs_score","18",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-05","fada","fada_404","d39359ba-a36c-4208-8a10-c8beaf847ff2","fcs_score","20.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-05","ouahigouya","ouahigouya_304","a5be8b9a-48ca-497a-ba00-f671ab418940","fcs_score","14.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-05","ouahigouya","ouahigouya_307","514a719b-d36f-4a89-84ae-ce6f43685c3f","fcs_score","20.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-05","ouahigouya","ouahigouya_307","576d9720-e2c3-4ee2-95d4-0337b9e696fd","fcs_score","15",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-06","tenkodogo","tenkodogo_802","c596dee3-6647-4378-8a4e-5f270e624445","fcs_score","18",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-06","fada","fada_411","46bd4741-c8c9-43a4-a501-c5dcc2918022","fcs_score","17.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-06","fada","fada_412","22243513-029a-4f67-9ee6-dbde74addbbc","fcs_score","12.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-06","fada","fada_412","bc5b419a-ab1c-4623-a47b-3164abe9c2e8","fcs_score","15.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-06","fada","fada_412","245aeb09-01f3-47ff-89ea-b616f9de99a9","fcs_score","20",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-06","tenkodogo","tenkodogo_808","518b6411-b538-473f-80a3-02f351d621b8","fcs_score","11.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-06","tenkodogo","tenkodogo_808","73ad8e1e-553e-4805-949e-ceab74d01fc5","fcs_score","17",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-06","tenkodogo","tenkodogo_807","6c3da2b0-6266-43c0-8e34-f98b26dbec0d","fcs_score","20.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-06","koudougou","koudougou_705","ecb11188-b827-4e94-a5e4-c024cde81930","fcs_score","19",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-06","koudougou","koudougou_706","4cbcc67d-3a24-4a15-a562-5adca54a8698","fcs_score","19.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-06","ouahigouya","ouahigouya_304","4ac43c08-5822-4f98-996d-fca2094839a2","fcs_score","19",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-06","ouahigouya","ouahigouya_304","1289c468-5647-47b7-aa89-3bb6f2ab5f70","fcs_score","20.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-06","koudougou","koudougou_703","cfaf1ad8-4671-4297-b4f8-bff5bc7d4ef7","fcs_score","16.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-06","koudougou","koudougou_703","404bc0de-5b32-4097-abb4-812ac2cdf5f6","fcs_score","17.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-07","fada","fada_411","8e486f00-9135-4991-9318-dac3595d5e40","fcs_score","18.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-07","fada","fada_412","49f25331-ffdc-4c20-a99b-c6e1ee633634","fcs_score","19.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-07","ouahigouya","ouahigouya_309","a676c513-caee-4b16-b77c-0014c37c4304","fcs_score","20.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-07","tenkodogo","tenkodogo_808","bfad6ac7-dba6-4973-acc1-3dba0493d5ad","fcs_score","14",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-07","koudougou","koudougou_702","61b94530-f6eb-4c1c-a7cf-fe1cc1c4c52d","fcs_score","20.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-07","fada","fada_404","6f31038e-5f4e-4d50-b3b5-0707b9212efc","fcs_score","13.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-07","dedougou","dedougou_507","3ec6f59e-1c51-4d80-82c1-a09efbc4bceb","fcs_score","20.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-07","koudougou","koudougou_703","f691e10f-7f7c-4f54-b85e-b03b6f090d1c","fcs_score","18.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-08","fada","fada_406","d51726f1-6980-4ac9-ab01-2d625076d72f","fcs_score","20",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
